id_person,DoB,PoB_ID,City,State,Country,Region,Group,Lat,Long
53521,1987,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
75205,1989,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
81517,1983,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
113856,1993,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
118416,1991,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
131893,1954,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
134353,1977,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
136503,1980,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
151245,1993,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
173038,1981,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
224742,1995,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
238359,1994,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
238489,1996,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
259717,1996,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
290324,1997,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
291849,1998,Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
25870,1972,AguaNegra_Yaracuy_VE,Agua Negra,Yaracuy,VE,South America,Latin America and the Caribbean,10.333333,-68.75
83457,1988,AguaNegra_Yaracuy_VE,Agua Negra,Yaracuy,VE,South America,Latin America and the Caribbean,10.333333,-68.75
134148,1975,AguaNegra_Yaracuy_VE,Agua Negra,Yaracuy,VE,South America,Latin America and the Caribbean,10.333333,-68.75
159742,1991,AguaNegra_Yaracuy_VE,Agua Negra,Yaracuy,VE,South America,Latin America and the Caribbean,10.333333,-68.75
258411,1991,AguaNegra_Yaracuy_VE,Agua Negra,Yaracuy,VE,South America,Latin America and the Caribbean,10.333333,-68.75
29213,1989,AguaPrieta_Sonora_MX,Agua Prieta,Sonora,MX,Central America,Latin America and the Caribbean,31.324593,-109.549131
50358,1951,AguaPrieta_Sonora_MX,Agua Prieta,Sonora,MX,Central America,Latin America and the Caribbean,31.324593,-109.549131
77205,1980,AguaSantadelYuna_Duarte_DO,Agua Santa del Yuna,Duarte,DO,Caribbean,Latin America and the Caribbean,19.243456,-70.087743
169826,1991,AguaSantadelYuna_Duarte_DO,Agua Santa del Yuna,Duarte,DO,Caribbean,Latin America and the Caribbean,19.243456,-70.087743
70705,1989,Aguascalientes_Aguascalientes_MX,Aguascalientes,Aguascalientes,MX,Central America,Latin America and the Caribbean,21.967551,-102.298338
102754,1982,Aguascalientes_Aguascalientes_MX,Aguascalientes,Aguascalientes,MX,Central America,Latin America and the Caribbean,21.967551,-102.298338
105158,1988,Aguascalientes_Aguascalientes_MX,Aguascalientes,Aguascalientes,MX,Central America,Latin America and the Caribbean,21.967551,-102.298338
70404,1961,Ahome_Sinaloa_MX,Ahome,Sinaloa,MX,Central America,Latin America and the Caribbean,25.918532,-109.169569
163199,1981,Ahome_Sinaloa_MX,Ahome,Sinaloa,MX,Central America,Latin America and the Caribbean,25.918532,-109.169569
189361,1990,Ahome_Sinaloa_MX,Ahome,Sinaloa,MX,Central America,Latin America and the Caribbean,25.918532,-109.169569
