PoB_ID,City,State,Country,Region,Group,Lat,Long
Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
Arenoso_Duarte_DO,Arenoso,Duarte,DO,Caribbean,Latin America and the Caribbean,19.187238,-69.859811
Argo_IL_US,Argo,IL,US,Northern America,Northern America,33.255118,-94.894934
Argyle_TX_US,Argyle,TX,US,Northern America,Northern America,33.121232,-97.183347
Arita_Wakayama_JP,Arita,Wakayama,JP,Eastern Asia,Asia,33.807029,135.593074
Arizona_LA_US,Arizona,LA,US,Northern America,Northern America,32.789036,-92.95766
Arjona_Bolivar_CO,Arjona,Bolivar,CO,South America,Latin America and the Caribbean,10.253463,-75.342721
Arjona_CO,Arjona,,CO,South America,Latin America and the Caribbean,9.534846,-73.911178
Arkadelphia_AR_US,Arkadelphia,AR,US,Northern America,Northern America,34.120929,-93.053784
ArkansasCity_KS_US,Arkansas City,KS,US,Northern America,Northern America,37.062051,-97.038575
Arkport_NY_US,Arkport,NY,US,Northern America,Northern America,42.394513,-77.69666
Arlington_GA_US,Arlington,GA,US,Northern America,Northern America,31.439898,-84.724919
Arlington_MA_US,Arlington,MA,US,Northern America,Northern America,42.415374,-71.156443
Arlington_TN_US,Arlington,TN,US,Northern America,Northern America,36.314499,-87.713075
Arlington_TX_US,Arlington,TX,US,Northern America,Northern America,32.735582,-97.107119
Arlington_VA_US,Arlington,VA,US,Northern America,Northern America,38.890396,-77.084158
Arlington_WA_US,Arlington,WA,US,Northern America,Northern America,48.181096,-122.138955
ArlingtonHeights_IL_US,Arlington Heights,IL,US,Northern America,Northern America,42.081268,-87.980066
Armadale_Victoria_AU,Armadale,Victoria,AU,Australia and New Zealand,Oceania,-37.856762,145.020691
Arnett_OK_US,Arnett,OK,US,Northern America,Northern America,36.135042,-99.774838
Arno_VA_US,Arno,VA,US,Northern America,Northern America,36.927318,-82.812105
Arnprior_ON_CA,Arnprior,ON,CA,Northern America,Northern America,45.438048,-76.359401
Aroa_Yaracuy_VE,Aroa,Yaracuy,VE,South America,Latin America and the Caribbean,10.439722,-68.894913
Aromas_CA_US,Aromas,CA,US,Northern America,Northern America,36.888565,-121.643001
Arraijan_PA,Arraijan,,PA,Central America,Latin America and the Caribbean,8.949015,-79.64933
Arrington_GB,Arrington,,GB,Northern Europe,Europe,52.134957,-0.062922
ArroyarenaelCano_CU,Arroyarena el Cano,,CU,Caribbean,Latin America and the Caribbean,23.013134,-80.832875
Arroyo_PR,Arroyo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
Artemisa_CU,Artemisa,,CU,Caribbean,Latin America and the Caribbean,22.813701,-82.760491
Artesia_CA_US,Artesia,CA,US,Northern America,Northern America,33.86902,-118.079619
Arvada_CO_US,Arvada,CO,US,Northern America,Northern America,39.821123,-105.220743
Asahi_Chiba_JP,Asahi,Chiba,JP,Eastern Asia,Asia,35.721994,140.646055
Asbestos_QC_CA,Asbestos,QC,CA,Northern America,Northern America,45.776458,-71.932137
Ashburn_VA_US,Ashburn,VA,US,Northern America,Northern America,39.043719,-77.48749
Ashdown_AR_US,Ashdown,AR,US,Northern America,Northern America,33.674287,-94.131305
Asheboro_NC_US,Asheboro,NC,US,Northern America,Northern America,35.707915,-79.813645
Asher_OK_US,Asher,OK,US,Northern America,Northern America,34.989523,-96.923632
Asheville_NC_US,Asheville,NC,US,Northern America,Northern America,35.60095,-82.554016
AshFlat_AR_US,Ash Flat,AR,US,Northern America,Northern America,36.223957,-91.608475
Ashikita-gun_Kumamoto_JP,Ashikita-gun,Kumamoto,JP,Eastern Asia,Asia,32.645047,130.634134
Ashland_KY_US,Ashland,KY,US,Northern America,Northern America,38.478414,-82.637939
Ashland_OH_US,Ashland,OH,US,Northern America,Northern America,40.868668,-82.318218
Ashland_OR_US,Ashland,OR,US,Northern America,Northern America,42.197249,-122.715399
Ashland_PA_US,Ashland,PA,US,Northern America,Northern America,40.781754,-76.345782
Ashland_WI_US,Ashland,WI,US,Northern America,Northern America,46.593077,-90.883871
Ashley_PA_US,Ashley,PA,US,Northern America,Northern America,41.21036,-75.896586
Ashtabula_OH_US,Ashtabula,OH,US,Northern America,Northern America,41.865053,-80.789809
Ashville_OH_US,Ashville,OH,US,Northern America,Northern America,39.715619,-82.952958
Aso-gun_Kumamoto_JP,Aso-gun,Kumamoto,JP,Eastern Asia,Asia,32.645047,130.634134
Assai_BR,Assai,,BR,South America,Latin America and the Caribbean,-23.373604,-50.845493
Astoria_NY_US,Astoria,NY,US,Northern America,Northern America,40.772015,-73.930267
Astoria_OR_US,Astoria,OR,US,Northern America,Northern America,46.187885,-123.831256
Atascadero_CA_US,Atascadero,CA,US,Northern America,Northern America,35.489417,-120.670725
Athens_AL_US,Athens,AL,US,Northern America,Northern America,34.828383,-86.917134
Athens_Attica_GR,Athens,Attica,GR,Southern Europe,Europe,37.984149,23.727984
Athens_GA_US,Athens,GA,US,Northern America,Northern America,33.959597,-83.376678
Athens_NY_US,Athens,NY,US,Northern America,Northern America,42.260365,-73.809571
Athens_OH_US,Athens,OH,US,Northern America,Northern America,39.32924,-82.101255
Athens_PA_US,Athens,PA,US,Northern America,Northern America,34.779486,-86.916454
Athens_TN_US,Athens,TN,US,Northern America,Northern America,34.802866,-86.971674
Athens_TX_US,Athens,TX,US,Northern America,Northern America,32.204873,-95.855521
Athol_MA_US,Athol,MA,US,Northern America,Northern America,42.59592,-72.22675
Atibaia_SaoPaulo_BR,Atibaia,Sao Paulo,BR,South America,Latin America and the Caribbean,-23.11694,-46.55028
Atlanta_GA_US,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
Atlanta_TX_US,Atlanta,TX,US,Northern America,Northern America,33.113742,-94.164354
Atlantic_IA_US,Atlantic,IA,US,Northern America,Northern America,41.403601,-95.013878
AtlanticCity_NJ_US,Atlantic City,NJ,US,Northern America,Northern America,39.364285,-74.422935
AtlanticHighland_NJ_US,Atlantic Highland,NJ,US,Northern America,Northern America,40.075738,-74.404162
Atlixco_Puebla_MX,Atlixco,Puebla,MX,Central America,Latin America and the Caribbean,18.908889,-98.437778
Atmore_AL_US,Atmore,AL,US,Northern America,Northern America,31.023792,-87.493871
Attadale_WesternAustralia_AU,Attadale,Western Australia,AU,Australia and New Zealand,Oceania,-32.024044,115.803519
Attalla_AL_US,Attalla,AL,US,Northern America,Northern America,34.033693,-86.102229
Attleboro_MA_US,Attleboro,MA,US,Northern America,Northern America,41.944544,-71.285608
Atwater_CA_US,Atwater,CA,US,Northern America,Northern America,37.347717,-120.609084
AU,,,AU,Australia and New Zealand,Oceania,-24.776109,134.755
Aubrey_TX_US,Aubrey,TX,US,Northern America,Northern America,33.304283,-96.986118
Auburn_AL_US,Auburn,AL,US,Northern America,Northern America,32.651488,-85.453536
Auburn_CA_US,Auburn,CA,US,Northern America,Northern America,38.894594,-121.07399
Auburn_IN_US,Auburn,IN,US,Northern America,Northern America,41.36699,-85.058863
Auburn_MA_US,Auburn,MA,US,Northern America,Northern America,32.541791,-85.58083
Auburn_NewSouthWales_AU,Auburn,New South Wales,AU,Australia and New Zealand,Oceania,-33.85457,151.025567
Auburn_NY_US,Auburn,NY,US,Northern America,Northern America,42.93202,-76.567203
Auburn_WA_US,Auburn,WA,US,Northern America,Northern America,47.307537,-122.230181
Auburndale_FL_US,Auburndale,FL,US,Northern America,Northern America,28.107986,-81.803762
Auburndale_WI_US,Auburndale,WI,US,Northern America,Northern America,44.625824,-90.011366
